Lysipatha is a genus of moth in the family Gelechiidae . || SUBJECT: Lysipatha || PREDICATE: parent taxon || OBJECT: Gelechiidae 
`` Love Is Gone '' is a song by French house DJ David Guetta and American singer Chris Willis . It is the second single from Guetta 's third studio album Pop Life . The single was released in France on June 2007 and in the UK on August 2007 . The song reached # 9 in the UK Singles Chart , becoming his second Top 10 hit . The song also received crossover airplay on top 40 radio stations in the USA , leading it to reach # 98 on the Billboard Hot 100 singles chart . The song has been remixed by co-producers Frédéric Riesterer ( as Fred Rister ) & Joachim Garraud themselves , Eddie Thoneick , Fuzzy Hair and Amo & Navas . The Fred Rister & Joachim Garraud remix was the one of the first David Guetta productions to use its guitar sound , which was later used in the songs `` I Got ta Feeling '' by The Black Eyed Peas , and `` Gettin ' Over '' , which also featured Chris Willis ( as well as the single version `` Gettin ' Over You '' with Fergie and LMFAO ) . The music video of the song features the actress , Kelly Thiebaud . || SUBJECT: `` Gettin ' Over You || PREDICATE: performer || OBJECT: Chris Willis 
Marc Regnier is an American classical guitarist . || SUBJECT: Marc Regnier || PREDICATE: country of citizenship || OBJECT: American 
Lu Gongxun ( born 1933 ) is a People 's Republic of China citizen . He was born in Shuozhou , Shanxi . He was a delegate to the 8th National People 's Congress and 9th National People 's Congress .   Category :1933 births  Category : People 's Republic of China politicians from Shanxi  Category : Communist Party of China politicians from Shanxi  Category : Delegates to the 8th National People 's Congress  Category : Delegates to the 9th National People 's Congress  Category : Living people || SUBJECT: Lu Gongxun || PREDICATE: date of birth || OBJECT: 1933 
Lu Gongxun ( born 1933 ) is a People 's Republic of China citizen . He was born in Shuozhou , Shanxi . He was a delegate to the 8th National People 's Congress and 9th National People 's Congress .   Category :1933 births  Category : People 's Republic of China politicians from Shanxi  Category : Communist Party of China politicians from Shanxi  Category : Delegates to the 8th National People 's Congress  Category : Delegates to the 9th National People 's Congress  Category : Living people || SUBJECT: Lu Gongxun || PREDICATE: country of citizenship || OBJECT: People 's Republic of China 
Lu Gongxun ( born 1933 ) is a People 's Republic of China citizen . He was born in Shuozhou , Shanxi . He was a delegate to the 8th National People 's Congress and 9th National People 's Congress .   Category :1933 births  Category : People 's Republic of China politicians from Shanxi  Category : Communist Party of China politicians from Shanxi  Category : Delegates to the 8th National People 's Congress  Category : Delegates to the 9th National People 's Congress  Category : Living people || SUBJECT: Lu Gongxun || PREDICATE: place of birth || OBJECT: Shuozhou 
Lu Gongxun ( born 1933 ) is a People 's Republic of China citizen . He was born in Shuozhou , Shanxi . He was a delegate to the 8th National People 's Congress and 9th National People 's Congress .   Category :1933 births  Category : People 's Republic of China politicians from Shanxi  Category : Communist Party of China politicians from Shanxi  Category : Delegates to the 8th National People 's Congress  Category : Delegates to the 9th National People 's Congress  Category : Living people || SUBJECT: People 's Republic of China || PREDICATE: contains administrative territorial entity || OBJECT: Shanxi 
Lu Gongxun ( born 1933 ) is a People 's Republic of China citizen . He was born in Shuozhou , Shanxi . He was a delegate to the 8th National People 's Congress and 9th National People 's Congress .   Category :1933 births  Category : People 's Republic of China politicians from Shanxi  Category : Communist Party of China politicians from Shanxi  Category : Delegates to the 8th National People 's Congress  Category : Delegates to the 9th National People 's Congress  Category : Living people || SUBJECT: Shuozhou || PREDICATE: country || OBJECT: People 's Republic of China 
Lu Gongxun ( born 1933 ) is a People 's Republic of China citizen . He was born in Shuozhou , Shanxi . He was a delegate to the 8th National People 's Congress and 9th National People 's Congress .   Category :1933 births  Category : People 's Republic of China politicians from Shanxi  Category : Communist Party of China politicians from Shanxi  Category : Delegates to the 8th National People 's Congress  Category : Delegates to the 9th National People 's Congress  Category : Living people || SUBJECT: Shuozhou || PREDICATE: located in the administrative territorial entity || OBJECT: Shanxi 
Lu Gongxun ( born 1933 ) is a People 's Republic of China citizen . He was born in Shuozhou , Shanxi . He was a delegate to the 8th National People 's Congress and 9th National People 's Congress .   Category :1933 births  Category : People 's Republic of China politicians from Shanxi  Category : Communist Party of China politicians from Shanxi  Category : Delegates to the 8th National People 's Congress  Category : Delegates to the 9th National People 's Congress  Category : Living people || SUBJECT: Shanxi || PREDICATE: country || OBJECT: People 's Republic of China 
Lu Gongxun ( born 1933 ) is a People 's Republic of China citizen . He was born in Shuozhou , Shanxi . He was a delegate to the 8th National People 's Congress and 9th National People 's Congress .   Category :1933 births  Category : People 's Republic of China politicians from Shanxi  Category : Communist Party of China politicians from Shanxi  Category : Delegates to the 8th National People 's Congress  Category : Delegates to the 9th National People 's Congress  Category : Living people || SUBJECT: Shanxi || PREDICATE: contains administrative territorial entity || OBJECT: Shuozhou 
The M47 bomb was a chemical bomb designed during World War II for use by the U.S. Army Air Forces . || SUBJECT: M47 bomb || PREDICATE: instance of || OBJECT: chemical bomb 
The M47 bomb was a chemical bomb designed during World War II for use by the U.S. Army Air Forces . || SUBJECT: M47 bomb || PREDICATE: conflict || OBJECT: World War II 
MRO or Mro or variant may refer to : || SUBJECT: MRO || PREDICATE: subclass of || OBJECT: variant 
Mangala Devi Kannagi temple is a historic temple located on the border of Tamil Nadu and Kerala , about 7 km from Pazhiyankudi in Theni district and 15 km from Thekkady in Idukki district . Cheran Chenguttuvan , the king of ancient Tamilakam , had erected the temple for Kannagi around 2000 years back at Vannathiparai and called it ` Kannagi Kottam ' or ` Mangaladevi Kannagi temple ' and performed regular pujas . It sits at an altitude of about above the mean sea level . It is surrounded by lush greenery and is closed throughout the year except during the Chitra Pournami festival . At other times tourists can still view it by getting a special letter from the forest ranger . The view from the temple premises is spectacular and one can see part of eastern ghats and some villages from adjacent state of Tamil Nadu . || SUBJECT: Tamil Nadu || PREDICATE: shares border with || OBJECT: Kerala 
Mangala Devi Kannagi temple is a historic temple located on the border of Tamil Nadu and Kerala , about 7 km from Pazhiyankudi in Theni district and 15 km from Thekkady in Idukki district . Cheran Chenguttuvan , the king of ancient Tamilakam , had erected the temple for Kannagi around 2000 years back at Vannathiparai and called it ` Kannagi Kottam ' or ` Mangaladevi Kannagi temple ' and performed regular pujas . It sits at an altitude of about above the mean sea level . It is surrounded by lush greenery and is closed throughout the year except during the Chitra Pournami festival . At other times tourists can still view it by getting a special letter from the forest ranger . The view from the temple premises is spectacular and one can see part of eastern ghats and some villages from adjacent state of Tamil Nadu . || SUBJECT: Tamil Nadu || PREDICATE: contains administrative territorial entity || OBJECT: Theni district 
Mangala Devi Kannagi temple is a historic temple located on the border of Tamil Nadu and Kerala , about 7 km from Pazhiyankudi in Theni district and 15 km from Thekkady in Idukki district . Cheran Chenguttuvan , the king of ancient Tamilakam , had erected the temple for Kannagi around 2000 years back at Vannathiparai and called it ` Kannagi Kottam ' or ` Mangaladevi Kannagi temple ' and performed regular pujas . It sits at an altitude of about above the mean sea level . It is surrounded by lush greenery and is closed throughout the year except during the Chitra Pournami festival . At other times tourists can still view it by getting a special letter from the forest ranger . The view from the temple premises is spectacular and one can see part of eastern ghats and some villages from adjacent state of Tamil Nadu . || SUBJECT: Tamil Nadu || PREDICATE: contains administrative territorial entity || OBJECT: Idukki district 
